unit,fragment_path,exec_start,working_directory,environment_files,user,group,active_state,sub_state
decisionos-backend.service,/etc/systemd/system/decisionos-backend.service,{ path=/opt/decisionos/backend/venv/bin/uvicorn ; argv[]=/opt/decisionos/backend/venv/bin/uvicorn main:app --host 0.0.0.0 --port 9103 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/decisionos/backend,,root,,inactive,dead
ndsp-public-gateway.service,/etc/systemd/system/ndsp-public-gateway.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /var/www/ndsp-public-gateway/server.mjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/var/www/ndsp-public-gateway,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,,inactive,dead
ndsp-public-summary-v548.service,/etc/systemd/system/ndsp-public-summary-v548.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-public-summary-v548/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-public-summary-v548,,nawaf511,,active,running
ndsp-quality-live-golden-wrapper.service,/etc/systemd/system/ndsp-quality-live-golden-wrapper.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_quality_live_golden_wrapper.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new,,root,,active,running
ndsp-quality-live-nmp-wrapper.service,/etc/systemd/system/ndsp-quality-live-nmp-wrapper.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_quality_live_nmp_wrapper.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new,,root,,active,running
ndsp-raw-cot-gateway.service,/etc/systemd/system/ndsp-raw-cot-gateway.service,{ path=/home/nawaf511/empire-core-new/apps/ndsp-raw-cot-gateway/.venv/bin/uvicorn ; argv[]=/home/nawaf511/empire-core-new/apps/ndsp-raw-cot-gateway/.venv/bin/uvicorn app:app --host 127.0.0.1 --port 9076 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/apps/ndsp-raw-cot-gateway,,nawaf511,,active,running
ndsp-real-feeds-sync.service,/etc/systemd/system/ndsp-real-feeds-sync.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/ndsp-portal-real-data-sync/sync_real_feeds.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:32:20 CEST] ; stop_time=[Sun 2026-08-02 02:32:20 CEST] ; pid=2930535 ; code=exited ; status=0 },,,nawaf511,,inactive,dead
ndsp-refresh-live-data.service,/etc/systemd/system/ndsp-refresh-live-data.service,{ path=/usr/bin/flock ; argv[]=/usr/bin/flock -n /tmp/ndsp-refresh-live-data.lock /usr/local/bin/ndsp-refresh-live-data ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,/etc/default/ndsp-refresh-live-data (ignore_errors=yes),,,inactive,dead
ndsp-refresh-static-data-contract-v45.service,/etc/systemd/system/ndsp-refresh-static-data-contract-v45.service,{ path=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; argv[]=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,root,,inactive,dead
ndsp-refresh-static-data-contract-v46.service,/etc/systemd/system/ndsp-refresh-static-data-contract-v46.service,{ path=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; argv[]=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:35:23 CEST] ; stop_time=[n/a] ; pid=2940922 ; code=(null) ; status=0/0 },,,root,,activating,start
ndsp-refresh-static-data-contract-with-nmp.service,/etc/systemd/system/ndsp-refresh-static-data-contract-with-nmp.service,{ path=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; argv[]=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,root,,inactive,dead
ndsp-refresh-static-data-contract.service,/etc/systemd/system/ndsp-refresh-static-data-contract.service,{ path=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; argv[]=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,,,inactive,dead
ndsp-register-compat-gateway.service,/etc/systemd/system/ndsp-register-compat-gateway.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_register_compat_gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/home/nawaf511/empire-core-new/backend/auth_api/.env (ignore_errors=yes),,,active,running
ndsp-registration-consent-v42.service,/etc/systemd/system/ndsp-registration-consent-v42.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /opt/ndsp/legal-v42/ndsp-registration-consent-gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,/etc/ndsp/v46-internal.env (ignore_errors=yes),www-data,www-data,active,running
ndsp-registration-mailer-v12-1.service,/etc/systemd/system/ndsp-registration-mailer-v12-1.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-registration-mailer-v12-1/mailer.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:35:23 CEST] ; stop_time=[Sun 2026-08-02 02:35:24 CEST] ; pid=2940933 ; code=exited ; status=0 },,,root,root,inactive,dead
ndsp-scenario-levels-adapter.service,/etc/systemd/system/ndsp-scenario-levels-adapter.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_scenario_levels_adapter.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend,,nawaf511,,active,running
ndsp-telegram-alert.service,/etc/systemd/system/ndsp-telegram-alert.service,{ path=/usr/local/bin/ndsp_auto_telegram_health_alert.sh ; argv[]=/usr/local/bin/ndsp_auto_telegram_health_alert.sh ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:34:22 CEST] ; stop_time=[Sun 2026-08-02 02:34:23 CEST] ; pid=2937632 ; code=exited ; status=0 },,/etc/ndsp/ndsp-mail.env (ignore_errors=no),root,root,inactive,dead
ndsp-telegram-link-listener.service,/etc/systemd/system/ndsp-telegram-link-listener.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-telegram-link-listener/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-telegram-link-listener,,nawaf511,,active,running
ndsp-tradingview-calendar.service,/etc/systemd/system/ndsp-tradingview-calendar.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/ndsp-portal-real-data-sync/tradingview_live_calendar.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:32:20 CEST] ; stop_time=[Sun 2026-08-02 02:32:21 CEST] ; pid=2930537 ; code=exited ; status=0 },,,nawaf511,,inactive,dead
ndsp-trial-fingerprint-guard.service,/etc/systemd/system/ndsp-trial-fingerprint-guard.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_fingerprint_guard_proxy.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-db.env (ignore_errors=yes),nawaf511,nawaf511,active,running
ndsp-trial-register-canonical-wrapper.service,/etc/systemd/system/ndsp-trial-register-canonical-wrapper.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-trial-register-canonical-wrapper/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-trial-register-canonical-wrapper,,nawaf511,nawaf511,active,running
ndsp-trial-register.service,/etc/systemd/system/ndsp-trial-register.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_register_gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-mail.env (ignore_errors=no),,,active,running
ndsp-trial-seats-api.service,/etc/systemd/system/ndsp-trial-seats-api.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-trial-seats-api/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-trial-seats-api,,nawaf511,,active,running
ndsp-ui-bridge-api.service,/etc/systemd/system/ndsp-ui-bridge-api.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 -m uvicorn main:app --host 127.0.0.1 --port 9066 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-ui-bridge-api,,root,,active,running
ndsp-user-alert-channels.service,/etc/systemd/system/ndsp-user-alert-channels.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-user-alert-channels/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-user-alert-channels,,nawaf511,,active,running
ndsp-user-dashboard.service,/etc/systemd/system/ndsp-user-dashboard.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_user_dashboard_gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-mail.env (ignore_errors=no),,,active,running
ndsp-user-login.service,/etc/systemd/system/ndsp-user-login.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_user_login_gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/v46-internal.env (ignore_errors=yes),nawaf511,,active,running
ndsp-user-portal.service,/etc/systemd/system/ndsp-user-portal.service,{ path=/usr/bin/pnpm ; argv[]=/usr/bin/pnpm start -- -H 0.0.0.0 -p 3100 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/apps/user-portal,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,,inactive,dead
ndsp-v3-portal-gateway.service,/etc/systemd/system/ndsp-v3-portal-gateway.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-v3-portal-gateway/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-v3-portal-gateway,,www-data,www-data,active,running
ndsp-v52-contract.service,/etc/systemd/system/ndsp-v52-contract.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-v52-contract/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,root,,active,running
ndsp-v53-bridge.service,/etc/systemd/system/ndsp-v53-bridge.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-v53-bridge/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,root,,active,running
