semantic_cluster_id,candidate_count,capability_ids,capability_names,endpoint_contracts,sources,deduplication_status
CLUSTER-13E1BE84357A8BF3,2,CAP-81C879AE2209|CAP-B2C76796BD6C,Ndsp Api Compat Gateway,GET /API/PACKAGES,backend/auth_api/ndsp_api_compat_gateway.cjs|backend/ndsp_api_compat_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-146A953A5A090F47,2,CAP-77CF58DFBBF6|CAP-D18B4EC4F34A,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/PACKAGES,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-14E241D47ACC5CBA,1,CAP-B2ADCE8E14C1,Ndsp User Portal Final Experience V1 One Script,POST /API/USER/LEGAL-ACCEPTANCE,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,UNIQUE
CLUSTER-192665335C34E13D,1,CAP-BC09A0EB4549,User Operational Compat,POST /API/ALERTS/EMAIL/TEST,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-1A1DF77772C7862E,1,CAP-805630C7C819,Attach Report,,backend/app/support_layers/scenario/scenario_engine.py,UNIQUE
CLUSTER-1B355FCD82516B99,1,CAP-4804EA150D2F,Frontend Contract,GET /BRIEF/TODAY,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-1BD5A59391679254,1,CAP-552A04A27A0F,Scenario Report,,backend/app/support_layers/scenario/scenario_engine.py,UNIQUE
CLUSTER-1C0006D0FCDB7718,1,CAP-C95B03AE5FFB,Frontend Contract,POST /ACCOUNT/ACTIVATE,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-20B55F2AD6D04BE8,3,CAP-45BEE5E5B9D6|CAP-6FE68AAF4F33|CAP-C3C9F07E6EC7,Telegram Routing Admin|Telegram Routing Internal|Telegram Routing V2,GET /STATUS,backend/app/api/admin/telegram_routing_admin.py|backend/app/api/admin/telegram_routing_v2.py|backend/app/api/internal/telegram_routing_internal.py,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-21D862A38B8E3867,2,CAP-3B89863B2015|CAP-7EEC4AB2500E,Ndsp User Login Gateway,POST /API/AUTH/2FA/SETUP/START,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-2305B098920942A5,2,CAP-20B6E1FEA3A2|CAP-A323993993E5,Ndsp Api Compat Gateway,GET /API/MARKETS,backend/auth_api/ndsp_api_compat_gateway.cjs|backend/ndsp_api_compat_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-23D620B64D4FFE61,1,CAP-3A5ED3DB0C0D,Risk Label,,backend/app/support_layers/scenario/scenario_engine.py,UNIQUE
CLUSTER-25099A6E3D05D0C3,2,CAP-7B056D6FB736|CAP-C55DEBBD7CB7,Ndsp User Login Gateway,POST /API/AUTH/2FA/DISABLE,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
