capability_id,capability_name,source_evidenced,service_evidenced,endpoint_evidenced,real_data_evidenced,calculation_evidenced,test_evidenced,ui_evidenced,passed_dimension_count,total_dimension_count,remaining_gaps,recalculated_status,priority,existing_coverage_state,data_state,last_verified_at
CAP-0AB187B5D320,Evaluate L16 Scenario Alerts,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-D23D3D3D1D06,Evaluate L4 Cot Manager,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-4F8F0E4D1785,Evaluate Market Positioning,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-20A8CAD9D6A1,Execution Webhook Bridge,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-4B97F41DF526,Feature Gate,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SERVICE_CONNECTED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-4B44E1521757,Find Quality,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-B9C3A591EABA,Find Quality,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-F1DC3D02D328,Find Users Table,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-EAFDBC235B37,Format Market Timestamp,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_LIVE,2026-08-01T11:05:40.796869+00:00
CAP-3836195F0EC6,Forward To Trial Gateway,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-571585E11A87,Gateway Auth Me,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-3A7CE980BBA5,Get Authority Signs,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-793DD4598CE0,Get Market Payload,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SERVICE_CONNECTED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-DC15995EDA27,Get Market Positioning,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-6DCB180A7F39,Get User By Email,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-07-31T22:08:07Z
CAP-ED125A196CA8,Get User By Id,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-07-31T22:08:07Z
CAP-9F0C0925830C,Get User Counts,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-151D33E801FF,Govern Decision Output,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-399F19D9DFDF,Governance Mode Public,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SERVICE_CONNECTED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-047A94BA516E,Guard Decision Output,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SERVICE_CONNECTED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-6B497F45D014,Init,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-6C1350BBA4A7,Init,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-546C65CAA1A3,Insert User,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-429E344E9B10,Install Ndsp Decision Governance,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-CBBAC7D35B02,L9 Horizon Structure,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-19318F0DAA6E,Layer Orchestrator,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-575CCF623BA1,Legacy Structure.Test,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-9CE3E0097964,Legacy Structure.Test,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-0FC1797C1FB1,Load Governance,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-74877E98A816,Load Governance Mode,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SERVICE_CONNECTED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-714A781C2444,Load Orchestrator,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-07-31T22:08:07Z
CAP-2885DFC3A9EA,Log Decision,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SERVICE_CONNECTED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-793E22D57579,Macro Quality Stack Effect,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,SOURCE_IDENTIFIED,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
